"Country","ISO3","Specie","Breed/Most common name","Year","dna samples","dna donors total","dna donors males","dna donors females","embryos samples","embryos donors total","embryos donors males","embryos donors females","somatic cells samples","somatic cells donors total","somatic cells donors males","somatic cells donors females","semen samples","semen donors males","oocytes samples","oocytes donors females","sufficient","organisation","collected by","Geographical classification","Last update"
"Germany","DEU","Pig","Hampshire (Schwein)","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Germany","DEU","Pig","Leicoma","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Germany","DEU","Pig","Pietrain","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Germany","DEU","Pig","Rassegruppe der Sattelschweine","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Germany","DEU","Pig","Rotbuntes Husumer Schwein","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Germany","DEU","Pig","Rotbuntes Husumer Schwein","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Denmark","DNK","Pig","DL-1970","2017","","","","","","","","","","","","","","11","","","","","","Local",""
"Denmark","DNK","Pig","Sortbroget Landracesvin","2017","","","","","","","","","","","","","","11","","","","","","Local",""
"Dominican Republic","DOM","Pig","Criollo","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","30/5/2022"
"Dominican Republic","DOM","Pig","Duroc","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","30/5/2022"
"Dominican Republic","DOM","Pig","Haitian","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Regional","30/5/2022"
"Dominican Republic","DOM","Pig","Hampshire","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","30/5/2022"
"Dominican Republic","DOM","Pig","Landrace","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","30/5/2022"
"Dominican Republic","DOM","Pig","New Haitian","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Regional","30/5/2022"
"Dominican Republic","DOM","Pig","Yorkshire","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","30/5/2022"
"Spain","ESP","Pig","Asturian","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Spain","ESP","Pig","Baztanes","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Spain","ESP","Pig","Blanco Belga","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Spain","ESP","Pig","Chato Murciano","2017","","","","","0","0","","","","","","","3977","23","0","0","","","","Local","9/5/2019"
"Spain","ESP","Pig","Chato Murciano","2018","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","16-Sept-2020"
